,Nombre,Números,Ciudad
0,Ana,10,Guadalajara
1,Beto,25,Monterrey
2,Carla,17,Ciudad de México
3,Diego,32,Puebla
4,Elena,8,Querétaro
5,Fernando,45,Guadalajara
6,Gabriela,21,Tijuana
7,Hugo,13,León
8,Inés,29,Mérida
9,Jorge,37,Monterrey
10,Karla,19,Puebla
11,Luis,26,Guadalajara
12,Marta,14,Toluca
13,Nicolás,41,Ciudad de México
14,Olivia,23,Cancún
15,Pablo,9,Morelia
16,Quetzal,30,Oaxaca
17,Rosa,18,Veracruz
18,Sofía,22,Guadalajara
19,Tomás,16,Aguascalientes
20,Úrsula,34,Saltillo
21,Víctor,27,Hermosillo
